Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",time
Afghanistan,AFG,2023,1992.4244,2023
Albania,ALB,2023,18244.293,2023
Algeria,DZA,2023,15159.324,2023
Andorra,AND,2023,64631.297,2023
Angola,AGO,2023,7244.893,2023
Antigua and Barbuda,ATG,2023,28967.256,2023
Argentina,ARG,2023,27104.98,2023
Armenia,ARM,2023,19230.19,2023
Australia,AUS,2023,59552.88,2023
Austria,AUT,2023,65015.133,2023
Azerbaijan,AZE,2023,21262.299,2023
Bahamas,BHS,2023,33105.605,2023
Bahrain,BHR,2023,57213.09,2023
Bangladesh,BGD,2023,8242.398,2023
Barbados,BRB,2023,19224.463,2023
Belarus,BLR,2023,27718.322,2023
Belgium,BEL,2023,64185.848,2023
Belize,BLZ,2023,12455.296,2023
Benin,BEN,2023,3721.2246,2023
Bhutan,,,14061.3125,2022
Bolivia,BOL,2023,9843.97,2023
Bosnia and Herzegovina,BIH,2023,20126.38,2023
Botswana,BWA,2023,18846.25,2023
Brazil,BRA,2023,19018.238,2023
Brunei,BRN,2023,76828.4,2023
Bulgaria,BGR,2023,33403.375,2023
Burkina Faso,BFA,2023,2482.0723,2023
Burundi,BDI,2023,828.8611,2023
Cambodia,KHM,2023,6690.5894,2023
Cameroon,CMR,2023,4870.571,2023
Canada,CAN,2023,55918.93,2023
Cape Verde,CPV,2023,9288.402,2023
Central African Republic,CAF,2023,1135.1362,2023
Chad,TCD,2023,1679.4615,2023
Chile,CHL,2023,29462.64,2023
China,CHN,2023,22137.6,2023
Colombia,COL,2023,18692.385,2023
Comoros,COM,2023,3498.8032,2023
Congo,COG,2023,6172.2876,2023
Costa Rica,CRI,2023,26292.771,2023
Cote d'Ivoire,CIV,2023,6485.316,2023
Croatia,HRV,2023,41116.87,2023
Cyprus,CYP,2023,53420.684,2023
Czechia,CZE,2023,49681.06,2023
Democratic Republic of Congo,COD,2023,1455.8356,2023
Denmark,DNK,2023,72097.305,2023
Djibouti,DJI,2023,6400.62,2023
Dominica,DMA,2023,17420.252,2023
Dominican Republic,DOM,2023,23087.934,2023
East Timor,TLS,2023,4328.508,2023
Ecuador,ECU,2023,14472.316,2023
Egypt,EGY,2023,16691.133,2023
El Salvador,SLV,2023,11404.334,2023
Equatorial Guinea,GNQ,2023,15688.238,2023
Estonia,EST,2023,42471.824,2023
Eswatini,SWZ,2023,10132.1875,2023
Ethiopia,ETH,2023,2755.457,2023
Fiji,FJI,2023,13652.491,2023
Finland,FIN,2023,57063.523,2023
France,FRA,2023,55441.188,2023
Gabon,GAB,2023,18702.691,2023
Gambia,GMB,2023,2932.2805,2023
Georgia,GEO,2023,22590.53,2023
Germany,DEU,2023,63578.14,2023
Ghana,GHA,2023,6796.4736,2023
Greece,GRC,2023,36905.453,2023
Greenland,,,68086.46,2021
Grenada,GRD,2023,16946.473,2023
Guatemala,GTM,2023,12389.386,2023
Guinea,GIN,2023,3949.34,2023
Guinea-Bissau,GNB,2023,2578.8044,2023
Guyana,GUY,2023,49315.16,2023
Haiti,HTI,2023,2956.4622,2023
Honduras,HND,2023,6468.302,2023
Hungary,HUN,2023,40543.992,2023
Iceland,ISL,2023,67255.67,2023
India,IND,2023,9160.063,2023
Indonesia,IDN,2023,13889.883,2023
Iran,IRN,2023,15912.03,2023
Iraq,IRQ,2023,12711.062,2023
Ireland,IRL,2023,114922.39,2023
Israel,ISR,2023,48432.11,2023
Italy,ITA,2023,53312.07,2023
Jamaica,JAM,2023,10291.3125,2023
Japan,JPN,2023,46157.637,2023
Jordan,JOR,2023,9362.588,2023
Kazakhstan,KAZ,2023,34703.234,2023
Kenya,KEN,2023,5682.9893,2023
Kiribati,KIR,2023,3195.8704,2023
