"entity","iso3c","year","gdp_per_capita","time","Continent"
"Afghanistan","AFG",2023,1.9924244,2023,"Asia"
"Albania","ALB",2023,18.244293,2023,"Europe"
"Algeria","DZA",2023,15.159324,2023,"Africa"
"Andorra","AND",2023,64.631297,2023,"Europe"
"Angola","AGO",2023,7.244893,2023,"Africa"
"Antigua and Barbuda","ATG",2023,28.967256,2023,"America (Caribbean)"
"Argentina","ARG",2023,27.10498,2023,"South America"
"Armenia","ARM",2023,19.23019,2023,"Asia"
"Australia","AUS",2023,59.55288,2023,"Oceania"
"Austria","AUT",2023,65.015133,2023,"Europe"
"Azerbaijan","AZE",2023,21.262299,2023,"Asia"
"Bahamas","BHS",2023,33.105605,2023,"America (Caribbean)"
"Bahrain","BHR",2023,57.21309,2023,"Asia"
"Bangladesh","BGD",2023,8.242398,2023,"Asia"
"Barbados","BRB",2023,19.224463,2023,"America (Caribbean)"
"Belarus","BLR",2023,27.718322,2023,"Europe"
"Belgium","BEL",2023,64.185848,2023,"Europe"
"Belize","BLZ",2023,12.455296,2023,"Central America"
"Benin","BEN",2023,3.7212246,2023,"Africa"
"Bhutan","",NA,14.0613125,2022,"Asia"
"Bolivia","BOL",2023,9.84397,2023,"South America"
"Bosnia and Herzegovina","BIH",2023,20.12638,2023,"Europe"
"Botswana","BWA",2023,18.84625,2023,"Africa"
"Brazil","BRA",2023,19.018238,2023,"South America"
"Brunei","BRN",2023,76.8284,2023,"Asia"
"Bulgaria","BGR",2023,33.403375,2023,"Europe"
"Burkina Faso","BFA",2023,2.4820723,2023,"Africa"
"Burundi","BDI",2023,0.8288611,2023,"Africa"
"Cambodia","KHM",2023,6.6905894,2023,"Asia"
"Cameroon","CMR",2023,4.870571,2023,"Africa"
"Canada","CAN",2023,55.91893,2023,"North America"
"Cape Verde","CPV",2023,9.288402,2023,"Africa"
"Central African Republic","CAF",2023,1.1351362,2023,"Africa"
"Chad","TCD",2023,1.6794615,2023,"Africa"
"Chile","CHL",2023,29.46264,2023,"South America"
"China","CHN",2023,22.1376,2023,"Asia"
"Colombia","COL",2023,18.692385,2023,"South America"
"Comoros","COM",2023,3.4988032,2023,"Africa"
"Congo","COG",2023,6.1722876,2023,"Africa"
"Costa Rica","CRI",2023,26.292771,2023,"Central America"
"Cote d'Ivoire","CIV",2023,6.485316,2023,"Africa"
"Croatia","HRV",2023,41.11687,2023,"Europe"
"Cyprus","CYP",2023,53.420684,2023,"Europe"
"Czechia","CZE",2023,49.68106,2023,"Europe"
"Democratic Republic of Congo","COD",2023,1.4558356,2023,"Africa"
"Denmark","DNK",2023,72.097305,2023,"Europe"
"Djibouti","DJI",2023,6.40062,2023,"Africa"
"Dominica","DMA",2023,17.420252,2023,"America (Caribbean)"
"Dominican Republic","DOM",2023,23.087934,2023,"America (Caribbean)"
"East Timor","TLS",2023,4.328508,2023,"Asia"
"Ecuador","ECU",2023,14.472316,2023,"South America"
"Egypt","EGY",2023,16.691133,2023,"Africa"
"El Salvador","SLV",2023,11.404334,2023,"Central America"
"Equatorial Guinea","GNQ",2023,15.688238,2023,"Africa"
"Estonia","EST",2023,42.471824,2023,"Europe"
"Eswatini","SWZ",2023,10.1321875,2023,"Africa"
"Ethiopia","ETH",2023,2.755457,2023,"Africa"
"Fiji","FJI",2023,13.652491,2023,"Oceania"
"Finland","FIN",2023,57.063523,2023,"Europe"
"France","FRA",2023,55.441188,2023,"Europe"
"Gabon","GAB",2023,18.702691,2023,"Africa"
"Gambia","GMB",2023,2.9322805,2023,"Africa"
"Georgia","GEO",2023,22.59053,2023,"Europe"
"Germany","DEU",2023,63.57814,2023,"Europe"
"Ghana","GHA",2023,6.7964736,2023,"Africa"
"Greece","GRC",2023,36.905453,2023,"Europe"
"Greenland","",NA,68.08646,2021,"North America"
"Grenada","GRD",2023,16.946473,2023,"America (Caribbean)"
"Guatemala","GTM",2023,12.389386,2023,"Central America"
"Guinea","GIN",2023,3.94934,2023,"Africa"
"Guinea-Bissau","GNB",2023,2.5788044,2023,"Africa"
"Guyana","GUY",2023,49.31516,2023,"South America"
"Haiti","HTI",2023,2.9564622,2023,"America (Caribbean)"
"Honduras","HND",2023,6.468302,2023,"Central America"
"Hungary","HUN",2023,40.543992,2023,"Europe"
"Iceland","ISL",2023,67.25567,2023,"Europe"
"India","IND",2023,9.160063,2023,"Asia"
"Indonesia","IDN",2023,13.889883,2023,"Asia"
"Iran","IRN",2023,15.91203,2023,"Asia"
"Iraq","IRQ",2023,12.711062,2023,"Asia"
"Ireland","IRL",2023,114.92239,2023,"Europe"
"Israel","ISR",2023,48.43211,2023,"Asia"
"Italy","ITA",2023,53.31207,2023,"Europe"
"Jamaica","JAM",2023,10.2913125,2023,"America (Caribbean)"
"Japan","JPN",2023,46.157637,2023,"Asia"
"Jordan","JOR",2023,9.362588,2023,"Asia"
"Kazakhstan","KAZ",2023,34.703234,2023,"Asia"
"Kenya","KEN",2023,5.6829893,2023,"Africa"
"Kiribati","KIR",2023,3.1958704,2023,"Oceania"
"Kosovo","OWID_KOS",2023,13.642677,2023,"Europe"
"Kuwait","KWT",2023,46.4582,2023,"Asia"
"Kyrgyzstan","KGZ",2023,6.403143,2023,"Asia"
"Laos","LAO",2023,8.372156,2023,"Asia"
"Latvia","LVA",2023,37.007367,2023,"Europe"
"Lebanon","",NA,11.474751,2022,"Asia"
"Lesotho","LSO",2023,2.5958296,2023,"Africa"
"Liberia","LBR",2023,1.6169237,2023,"Africa"
"Libya","LBY",2023,12.478144,2023,"Africa"
"Lithuania","LTU",2023,46.74041,2023,"Europe"
"Luxembourg","LUX",2023,132.84658,2023,"Europe"
"Madagascar","MDG",2023,1.6433093,2023,"Africa"
"Malawi","MWI",2023,1.6484365,2023,"Africa"
"Malaysia","MYS",2023,32.8123,2023,"Asia"
"Maldives","MDV",2023,22.28698,2023,"Asia"
"Mali","MLI",2023,2.394672,2023,"Africa"
"Malta","MLT",2023,61.12571,2023,"Europe"
"Marshall Islands","MHL",2023,6.786696,2023,"Oceania"
"Mauritania","MRT",2023,6.258711,2023,"Africa"
"Mauritius","MUS",2023,26.590424,2023,"Africa"
"Mexico","MEX",2023,22.142607,2023,"North America"
"Micronesia (country)","FSM",2023,3.8866965,2023,"Oceania"
"Moldova","MDA",2023,15.855273,2023,"Europe"
"Mongolia","MNG",2023,16.222864,2023,"Asia"
"Montenegro","MNE",2023,27.86965,2023,"Europe"
"Morocco","MAR",2023,8.868712,2023,"Africa"
"Mozambique","MOZ",2023,1.5116365,2023,"Africa"
"Myanmar","MMR",2023,5.364138,2023,"Asia"
"Namibia","NAM",2023,10.105515,2023,"Africa"
"Nauru","NRU",2023,12.462841,2023,"Oceania"
"Nepal","NPL",2023,4.8598003,2023,"Asia"
"Netherlands","NLD",2023,71.446695,2023,"Europe"
"New Zealand","NZL",2023,48.826574,2023,"Oceania"
"Nicaragua","NIC",2023,7.486943,2023,"Central America"
"Niger","NER",2023,1.703397,2023,"Africa"
"Nigeria","NGA",2023,5.5930566,2023,"Africa"
"North Macedonia","MKD",2023,23.584564,2023,"Europe"
"Norway","NOR",2023,90.46981,2023,"Europe"
"Oman","OMN",2023,38.311418,2023,"Asia"
"Pakistan","PAK",2023,5.4391875,2023,"Asia"
"Palau","PLW",2023,15.79654,2023,"Oceania"
"Palestine","PSE",2023,5.313098,2023,"Asia"
"Panama","PAN",2023,35.86388,2023,"Central America"
"Papua New Guinea","PNG",2023,4.1744414,2023,"Oceania"
"Paraguay","PRY",2023,15.783115,2023,"South America"
"Peru","PER",2023,15.294257,2023,"South America"
"Philippines","PHL",2023,9.901057,2023,"Asia"
"Poland","POL",2023,44.384168,2023,"Europe"
"Portugal","PRT",2023,41.75548,2023,"Europe"
"Puerto Rico","PRI",2023,42.994785,2023,"America (Caribbean)"
"Qatar","QAT",2023,116.15914,2023,"Asia"
"Romania","ROU",2023,40.665527,2023,"Europe"
"Russia","RUS",2023,39.753457,2023,"Europe"
"Rwanda","RWA",2023,3.060029,2023,"Africa"
"Saint Kitts and Nevis","KNA",2023,30.409404,2023,"America (Caribbean)"
"Saint Lucia","LCA",2023,23.40346,2023,"America (Caribbean)"
"Saint Vincent and the Grenadines","VCT",2023,18.335213,2023,"America (Caribbean)"
"Samoa","WSM",2023,6.304346,2023,"Oceania"
"San Marino","",NA,70.88757,2022,"Europe"
"Sao Tome and Principe","STP",2023,5.541302,2023,"Africa"
"Saudi Arabia","SAU",2023,55.0554,2023,"Asia"
"Senegal","SEN",2023,4.3172266,2023,"Africa"
